ID,Decision,Line,Event,Visible cue,Exact condition,Must not trigger,Emotion,Flavour,Extra requirement
L001,,Down we go. Rent won't pay itself.,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",wry,work,
L002,,Underground again. Lovely career choice.,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",dry,bad-joke,
L003,,Right. One tunnel at a time.,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",steady,practical,
L004,,Easy now. The dark can wait.,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",self-reassuring,vulnerable,
L005,,First dirt in the boots. Lovely.,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",resigned,relatable,
L006,,Leaving daylight. Still feels too easy.,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",uneasy,mystery,
L007,,"Well, this beats another interview.",First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",amused,bad-joke,
L008,,"Down here, nobody asks for references.",First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",crooked,mystery,
L009,,"All right, mine. Be gentle.",First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",wary,practical,
L010,,A little deeper. Then I'll complain.,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",playful,relatable,
L011,,Smells like work. Unfortunate.,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",dry,work,
L012,,Don't suppose there's a lift.,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",muttering,bad-joke,
L013,,Bronze. An honest start.,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",pleased,practical,
L014,,"Hello, bronze. You'll do nicely.",First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",warm,practical,
L015,,"Bronze. Third place, first payday.",First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",amused,bad-joke,
L016,,Good bronze. No need to show off.,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",approving,practical,
L017,,Bronze. My supper starts here.,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",hopeful,relatable,
L018,,Found bronze. That's worth dirty hands.,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",satisfied,work,
L019,,Bronze. I can work with that.,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",steady,practical,
