ID,Decision,Line,Emotion,Flavour,Event,Visible cue,Exact condition,Must not trigger,Extra requirement,Recording status,Existing takes,Note
L001,yes,Down we go. Rent won't pay itself.,wry,work,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",,Needs new recording,0,
L002,yes,Underground again. Lovely career choice.,dry,bad-joke,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",,Needs new recording,0,
L004,yes,Easy now. The dark can wait.,self-reassuring,vulnerable,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",,Needs new recording,0,
L005,yes,First dirt in the boots. Lovely.,resigned,relatable,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",,Needs new recording,0,
L006,yes,Leaving daylight. Still feels too easy.,uneasy,mystery,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",,Needs new recording,0,
L007,yes,"Well, this beats another interview.",amused,bad-joke,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",,Needs new recording,0,
L009,yes,"All right, mine. Be gentle.",wary,practical,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",,Needs new recording,0,
L010,yes,A little deeper. Then I'll complain.,playful,relatable,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",,Needs new recording,0,
L011,yes,Smells like work. Unfortunate.,dry,work,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",,Needs new recording,0,
L012,yes,Don't suppose there's a lift.,muttering,bad-joke,First descent,First underground view below 20 metres.,A live first expedition crosses 20 metres below Town; the underground view is visible and the player is safe.,"No save-load, surface walk, menu or teleport.",,Needs new recording,0,
L013,yes,Bronze. An honest start.,pleased,practical,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",,Needs new recording,0,
L014,yes,"Hello, bronze. You'll do nicely.",warm,practical,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",,Needs new recording,0,
L015,yes,"Bronze. Third place, first payday.",amused,bad-joke,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",,Needs new recording,0,
L016,yes,Good bronze. No need to show off.,approving,practical,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",,Needs new recording,0,
L018,yes,Found bronze. That's worth dirty hands.,satisfied,work,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",,Needs new recording,0,
L019,yes,Bronze. I can work with that.,steady,practical,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",,Needs new recording,0,
L020,yes,"Ah, bronze. Modest, like my wages.",dry,work,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",,Needs new recording,0,
L024,yes,A bit of bronze. We're getting somewhere.,pleased,practical,First bronze collected,The bronze pickup lands and its label is visible.,A positive bronze material award completes this save's first collection; its pickup or award label remains visible.,"No other material, currency, purchase, hovered rock or restored inventory.",,Needs new recording,0,
L025,yes,Iron. Something with a backbone.,approving,practical,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",,Needs new recording,0,
L026,yes,Good iron. I respect that.,warm,practical,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",,Needs new recording,0,
L027,yes,Iron. My shoulders knew before I did.,weary,relatable,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",,Needs new recording,0,
L028,yes,Found iron. The day improves.,pleased,practical,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",,Needs new recording,0,
L029,yes,Iron. Useful. Unlike my last employer.,dry,bad-joke,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",,Needs new recording,0,
L030,yes,"Hello, iron. You're coming with me.",friendly,practical,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",,Needs new recording,0,
L031,yes,"Iron. Less pretty, more dependable.",assured,practical,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",,Needs new recording,0,
L032,yes,"That's iron. Finally, something solid.",relieved,practical,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",,Needs new recording,0,
L035,yes,Iron. Let's call that progress.,steady,practical,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",,Needs new recording,0,
L036,yes,"Iron. No, I'm not licking it.",amused,bad-joke,First iron collected,The iron pickup lands and its label is visible.,A positive iron material award completes this save's first collection; its pickup or award label remains visible.,"No steel, bronze, currency, tile reveal alone or restored inventory.",,Needs new recording,0,
L037,yes,Silver. Now we're talking.,pleased,practical,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",,Needs new recording,0,
L038,yes,"Hello, silver. I've missed good company.",warm,relatable,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",,Needs new recording,0,
L041,yes,"Silver. Clean shine, dirty hands.",reflective,work,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",,Needs new recording,0,
L042,yes,"Ah, silver. My debts look smaller.",relieved,relatable,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",,Needs new recording,0,
L043,yes,Silver. Keep your bloody promises.,wary,mystery,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",,Needs new recording,0,
L046,yes,Silver. Worth the aching back.,satisfied,work,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",,Needs new recording,0,
L047,yes,A bit of silver. Keep it safe.,gentle,practical,First silver collected,The silver pickup lands and its label is visible.,A positive silver material award completes this save's first collection; its pickup or award label remains visible.,"No money counter, silver scenery, failed pickup or restored inventory.",,Needs new recording,0,
L053,yes,"Hello, gold. Goodbye, sensible decisions.",amused,bad-joke,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",,Needs new recording,0,
L056,yes,Gold. My favourite bad influence.,warm,dark-humour,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",,Needs new recording,0,
L057,yes,"Actual gold. All right, worth the dirt.",pleased,work,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",,Needs new recording,0,
L058,yes,Gold. Even my back stopped complaining.,amused,bad-joke,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",,Needs new recording,0,
L059,yes,That's gold. I'll thank myself later.,satisfied,practical,First gold ore collected,The gold ore pickup lands and its label is visible.,A positive gold material award completes this save's first collection; its pickup or award label remains visible.,"Gold ore only. No gold currency, selling, buying or rock discovery without collection.",,Needs new recording,0,
