id,name,type,prompt
GX201,robot_power_on_clean_01,One Shot,"Small mining robot powers on, relay click sequence, tiny servo wake movement, clean isolated machine sound effect, no music, no instruments, no voices, no ambience bed."
GX202,robot_boot_servo_wake_01,One Shot,"Robot boot-up body check, compact servos twitching and internal parts locking into place, short isolated game sound, no music, no instruments, no voices."
GX203,robot_reboot_glitch_01,One Shot,"Small robot reboot glitch, quick electrical sputter, relay reset, metal casing tick, short isolated machine sound, no music, no instruments, no voices."
GX204,robot_idle_micro_servos_loop,Loop,"Seamless loopable small robot idle foley, tiny irregular servo ticks and very soft mechanical body movement, clean low-volume machine layer, no music, no instruments, no voices."
GX205,robot_step_dirt_light_02,One Shot,"Small robot footstep on dry dirt, light metal foot presses soil with tiny grit crunch, short isolated movement sound, no music, no instruments, no voices."
GX206,robot_step_stone_light_02,One Shot,"Small robot footstep on stone floor, light metal clack with tiny rock dust movement, short isolated game sound, no music, no instruments, no voices."
GX207,robot_step_metal_light_01,One Shot,"Small robot footstep on metal platform, light hollow metal tap and soft servo follow-through, isolated movement sound, no music, no instruments, no voices."
GX208,robot_skid_dirt_01,One Shot,"Small robot skids on dry dirt, metal feet scraping soil and loose grit, short isolated movement sound, no music, no instruments, no voices."
GX209,robot_jump_servo_01,One Shot,"Small robot jump action, quick servo compression and springy mechanical release, short isolated game sound, no music, no instruments, no voices."
GX210,robot_land_soft_02,One Shot,"Small robot lands softly on dirt, light metal body thump with soil compression, short isolated landing sound, no music, no instruments, no voices."
GX211,robot_land_heavy_02,One Shot,"Heavy robot landing on stone, metal feet slam, chassis rattle, small rock chips scatter, high impact game sound, no music, no instruments, no voices."
GX212,robot_arm_extend_01,One Shot,"Robot mining arm extends, compact servo slide, metal joint click, tool socket lock, short isolated mechanical sound, no music, no instruments, no voices."
GX213,robot_arm_retract_01,One Shot,"Robot mining arm retracts, servo slide inward, metal joint snaps into rest position, short isolated sound, no music, no instruments, no voices."
GX214,robot_inventory_open_01,One Shot,"Robot inventory compartment opens, small metal hatch click and internal tray slide, short isolated UI foley, no music, no instruments, no voices."
GX215,robot_inventory_close_01,One Shot,"Robot inventory compartment closes, small tray retracts and metal hatch locks shut, short isolated game sound, no music, no instruments, no voices."
GX216,robot_battery_insert_01,One Shot,"Robot battery cell inserted, plastic-metal click, electrical contact snap, short clean power sound, no music, no instruments, no voices."
GX217,robot_battery_low_physical_01,One Shot,"Robot low battery physical warning, weak relay click, tiny electrical sputter, soft chassis tick, short isolated sound, no music, no instruments, no voices."
GX218,robot_damage_spark_02,One Shot,"Small robot takes damage, metal dent, loose part rattle, short electrical spark, isolated game effect, no music, no instruments, no voices."
GX219,robot_repair_small_02,One Shot,"Small robot repair action, tiny screws tighten, metal panel clicks, clean electrical contact restored, short isolated sound, no music, no instruments, no voices."
GX220,robot_shutdown_clean_01,One Shot,"Small robot shuts down, relay click off, servo relax, final tiny metal tick, short isolated machine sound, no music, no instruments, no voices."
GX221,hoverboard_power_on_01,One Shot,"Mining hoverboard powers on, compact energy coil snap, lift plate rises slightly, short isolated sci-fi machine sound, no music, no instruments, no voices."
